variant,family,scenario,prompt_id,tolerance_mode,percentile,tolerance_scale,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,reveal_payload_bytes_per_trace,reference_capture_file_bytes,candidate_capture_file_bytes,metadata_bytes,commitment_head_bytes,commitment_chain_bytes,validator_storage_head_bytes,validator_storage_full_chain_bytes,reference_capture_load_ms,candidate_capture_load_ms,commitment_generation_ms,replay_ms,compare_ms,challenge_latency_ms,detected,first_mismatch_stage,first_mismatch_checkpoint,verdict_bytes
scalar16,scalar,honest_homo,eval_062,global_shared,99.99,1.5,16,64,192,102420,102420,2132,32,96,207190,207254,1.608,1.568041,0.081792,0.065875,0.002334,3.24425,0,,,186
scalar16,scalar,honest_homo,eval_063,global_shared,99.99,1.5,16,64,192,86997,86997,2132,32,96,176344,176408,1.613459,1.490791,0.086708,0.070584,0.0025,3.177334,0,,,186
scalar16,scalar,honest_homo,eval_064,global_shared,99.99,1.5,16,64,192,87139,87139,2132,32,96,176628,176692,1.459916,1.4595,0.081333,0.063792,0.002167,2.985375,0,,,186
scalar16,scalar,honest_homo,eval_065,global_shared,99.99,1.5,16,64,192,87081,87081,2132,32,96,176512,176576,1.549417,1.582292,0.090042,0.075167,0.002584,3.20946,0,,,186
scalar16,scalar,honest_homo,eval_066,global_shared,99.99,1.5,16,64,192,87056,87056,2132,32,96,176462,176526,1.523625,1.449875,0.082208,0.064625,0.002209,3.040334,0,,,186
scalar16,scalar,honest_homo,eval_067,global_shared,99.99,1.5,16,64,192,117822,117822,2132,32,96,237994,238058,1.563875,1.547875,0.078,0.064167,0.005792,3.181709,0,,,186
scalar16,scalar,honest_homo,eval_068,global_shared,99.99,1.5,16,64,192,117889,117889,2132,32,96,238128,238192,1.658667,1.630084,0.088584,0.073292,0.003292,3.365335,0,,,186
scalar16,scalar,honest_homo,eval_069,global_shared,99.99,1.5,16,64,192,117797,117797,2132,32,96,237944,238008,1.615125,1.543667,0.081958,0.077625,0.002459,3.238876,0,,,186
scalar16,scalar,honest_homo,eval_070,global_shared,99.99,1.5,16,64,192,87040,87040,2132,32,96,176430,176494,1.530667,1.518333,0.086959,0.069583,0.002625,3.121208,0,,,186
scalar16,scalar,honest_homo,eval_071,global_shared,99.99,1.5,16,64,192,102442,102442,2132,32,96,207234,207298,1.66525,1.550542,0.086916,0.065709,0.002333,3.283834,0,,,186
scalar16,scalar,honest_homo,eval_072,global_shared,99.99,1.5,16,64,192,110082,110082,2132,32,96,222514,222578,1.603458,1.551042,0.081083,0.066375,0.002208,3.223083,0,,,186
scalar16,scalar,honest_homo,eval_073,global_shared,99.99,1.5,16,64,192,94742,94742,2132,32,96,191834,191898,1.566917,1.564209,0.110333,0.065583,0.002416,3.199125,0,,,186
scalar16,scalar,honest_homo,eval_074,global_shared,99.99,1.5,16,64,192,94770,94770,2132,32,96,191890,191954,1.570083,1.516375,0.083,0.065958,0.0025,3.154916,0,,,186
scalar16,scalar,honest_homo,eval_075,global_shared,99.99,1.5,16,64,192,94677,94677,2132,32,96,191704,191768,1.59925,1.577458,0.102875,0.081334,0.003166,3.261208,0,,,186
scalar16,scalar,honest_homo,eval_076,global_shared,99.99,1.5,16,64,192,94651,94651,2132,32,96,191652,191716,1.590792,1.482,0.081917,0.064,0.00225,3.139042,0,,,186
scalar16,scalar,honest_homo,eval_077,global_shared,99.99,1.5,16,64,192,125450,125450,2132,32,96,253250,253314,1.66375,1.719708,0.0885,0.066292,0.002333,3.452083,0,,,186
scalar16,scalar,honest_homo,eval_078,global_shared,99.99,1.5,16,64,192,125481,125481,2132,32,96,253312,253376,1.692834,1.690292,0.092,0.064292,0.00225,3.449668,0,,,186
